Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0226,252690425600276.66,56665.82417966015,4.3072584171424135e+39,1728723059741.5186,646632.2190966592,2.1051549209603579e+43
0227,383846842129873.5,58236.072560356355,4.652588256350647e+40,381314206945.15826,765850.0724140495,4.041336949353759e+41
0228,348543823340088.1,59849.83358756864,5.984325096759592e+40,419936445272.5937,715729.9497136263,3.895942293236755e+29
0229,326831321580399.75,58236.072560356355,4.892430234951211e+40,560899833677.7144,691913.6638317006,2.3029422267111826e+26
0230,306471397892951.3,59849.83358756864,1.0207318167361502e+40,18675536835575.89,351646.4488109529,3.952596408409994e+42
0231,422725603917276.94,59849.83358756864,2.4324960316239607e+39,1481719883421739.2,161461.40010351967,1.1345893004051594e+41
0232,252690425600276.66,61508.313026213116,1.4828317480699782e+40,1843567935364.6787,715729.9497136263,2.5617526041488257e+43
0233,450808684738713.25,58236.072560356355,3.0356509700353153e+40,447834232922.9615,691913.6638317006,3.823047231227524e+42
0234,278284724639857.44,61508.313026213116,6.864736359062224e+39,2986496787575.317,604314.1632126757,1.8859940921259346e+43
0235,287379793565330.1,59849.83358756864,1.552969982332694e+40,4393032100351.1543,476850.00108219223,1.9715248156174378e+43
0236,465542285604540.44,56665.82417966015,6.641213947381586e+40,369246277772.40045,545972.6933965883,8.730926976438222e+38
0237,450808684738713.25,58236.072560356355,7.505094621104938e+40,5159393814953.366,792211.3154718872,1.5805692689926448e-06
0238,348543823340088.1,53651.20397974041,4.472248514344774e+40,2986496787575.317,604314.1632126757,3.087907613218712e+43
0239,383846842129873.5,55137.91519220738,4.095411656902603e+40,2800453276219.6113,646632.2190966592,7.45026434571094e+42
0240,465542285604540.44,56665.82417966015,5.462497816052296e+40,314399483615.30316,938269.1975493444,3.145960197731987e+42
0241,337513019616912.56,55137.91519220738,2.4727088865134706e+40,3988997788326.376,510242.17724234634,4.856037908442596e+43
0242,287379793565330.1,56665.82417966015,6.870230956780015e+39,1674011991902.1965,715729.9497136263,2.1975032369470322e+43
0243,450808684738713.25,53651.20397974041,7.3910058439696365e+40,294814000000.0001,161461.40010351967,0.0
0244,450808684738713.25,56665.82417966015,4.697785305018842e+39,294814000000.0001,938269.1975493444,3.215648515886189e+42
0245,480757418884944.3,58236.072560356355,5.691058175660271e+40,543148332835.2403,876865.3157700199,2.549263189836893e+27
0246,236949101430692.06,59849.83358756864,2.79682877264874e+40,1728723059741.5186,847687.1668764589,3.213907542326561e+43
0247,296772113009551.75,58236.072560356355,4.052003596119051e+40,2384481894425.3154,668889.877234506,2.522566762572272e+43
0248,396391955737937.4,59849.83358756864,3.8965823171437076e+40,509312963097.6717,740366.0134130177,1.128830166805704e+34
0249,316487680644833.06,58236.072560356355,2.465839658656241e+40,2235940839149.9287,646632.2190966592,5.99509288358777e+42
0250,450808684738713.25,58236.072560356355,5.4409458371478385e+39,908632396613.3987,668889.877234506,4.9607837383415115e+41
0251,480757418884944.3,58236.072560356355,5.100682044183027e+40,335286096649.30994,646632.2190966592,1.9217460858823187e+41
0252,326831321580399.75,58236.072560356355,5.913124117147061e+40,5328016230076.534,510242.17724234634,1.95200746897999e+42
0253,348543823340088.1,55137.91519220738,4.075161734574569e+40,2030297721130.8652,646632.2190966592,1.7014190505718702e+43
0254,371698759473522.7,56665.82417966015,4.470875836218785e+40,5502149664498.068,460982.5695836015,6.493498059477435e+42
0255,359935142432174.0,56665.82417966015,1.9464538074295097e+40,8631145644288.462,402620.02379144216,8.312985744061184e+42
0256,348543823340088.1,53651.20397974041,2.570671026845037e+40,5328016230076.534,476850.00108219223,1.629978452384656e+42
0257,480757418884944.3,55137.91519220738,9.291137620200735e+39,2625999326339.922,625115.1960956908,3.868714347672552e+42
0258,383846842129873.5,53651.20397974041,2.3925585896919606e+40,5867675935648.598,460982.5695836015,1.0054520833309882e+42
0259,383846842129873.5,53651.20397974041,4.143633930877243e+40,23390586817239.848,339945.2305545469,4.731509047680043e+42
0260,465542285604540.44,52204.57970602628,4.325064317657356e+40,8913233943034.248,416478.5643719295,1.2956693842105111e+42
