Spec_File,OptUV_Radius,OptUV_Temperature,OptUV_ChiSquare,SoftX_Radius,SoftX_Temperature,SoftX_ChiSquare
0294,281496188797849.3,169883.6437197453,3.4264560389842134e+43,375383361749.04364,909673.8750628143,1.1064720658647393e+45
0295,281496188797849.3,161461.40010351967,3.0782874965277e+43,853545218728.9185,575625.5251117854,4.68934669653036e+43
0296,268217515957878.8,161461.40010351967,2.8483193410178035e+43,1086809559964.1991,780975.0558280292,1.4759181629666417e+42
0297,268217515957878.8,161461.40010351967,2.9086845464127604e+43,1452331474082.144,864575.389891787,7.031763727771908e+42
0298,200712692449977.34,169883.6437197453,1.6225713448796224e+43,2137710128460.7974,780975.0558280292,1.64891016145391e+43
0299,221078038775011.3,169883.6437197453,1.9080049120045096e+43,2243541969163.485,705458.4770241169,6.698283846234361e+42
0300,200712692449977.34,169883.6437197453,1.5696069376743316e+43,3302305621475.7617,637243.9927387064,5.896445095787192e+42
0301,268217515957878.8,161461.40010351967,2.7482951352526956e+43,1035542831815.0599,821712.7316698213,9.757976931748319e+42
0302,243509758311803.9,161461.40010351967,2.1881025503233639e+43,2721922345840.4185,705458.4770241169,1.5157875823058507e+43
0303,295432250294043.8,169883.6437197453,3.5031294687565633e+43,1086809559964.1991,705458.4770241169,3.8011703340762315e+42
0304,268217515957878.8,169883.6437197453,2.9479858091539937e+43,2354613237961.394,670484.28513293,5.007110615200246e+42
0305,243509758311803.9,169883.6437197453,2.3990722159433364e+43,2354613237961.394,742257.0130879642,3.901770353689254e+42
0306,232022972548302.62,169883.6437197453,2.1575578227217922e+43,2998102643988.239,705458.4770241169,6.274640515876053e+42
0307,232022972548302.62,161461.40010351967,1.9712324346347887e+43,2998102643988.239,670484.28513293,1.4961591353080192e+43
0308,255565221589118.44,169883.6437197453,2.600572135342184e+43,2137710128460.7974,742257.0130879642,6.112115243422985e+42
0309,268217515957878.8,169883.6437197453,2.772011386740216e+43,1524232201484.8955,780975.0558280292,6.706414737334304e+42
0310,268217515957878.8,169883.6437197453,2.693691479382765e+43,1140614355428.725,742257.0130879642,3.103301098376944e+42
0311,281496188797849.3,169883.6437197453,2.890906345887622e+43,608595660603.8247,670484.28513293,3.575830839047032e+42
0312,268217515957878.8,169883.6437197453,2.598873779901811e+43,1452331474082.144,494187.1905238273,4.5809300483236774e+42
0313,243509758311803.9,169883.6437197453,2.11885885911329e+43,2243541969163.485,742257.0130879642,3.003418141188611e+42
0314,255565221589118.44,161461.40010351967,2.088754103511406e+43,1383822431093.3665,637243.9927387064,9.039641074224386e+42
0315,150197442425220.62,161461.40010351967,6.942045560663454e+42,3146530027665.9917,637243.9927387064,1.807893623208284e+43
0316,232022972548302.62,161461.40010351967,1.6401502943070935e+43,1452331474082.144,547088.0020280032,3.745889629527758e+43
0317,136361500379267.78,169883.6437197453,5.799848698416464e+42,2593524457113.837,705458.4770241169,2.6123680397682114e+43
0318,143112363554767.2,169883.6437197453,5.942993732042294e+42,2593524457113.837,670484.28513293,1.7959530466513594e+43
0319,157633283042274.84,161461.40010351967,6.348679384014337e+42,2243541969163.485,705458.4770241169,2.6177814454390444e+43
0320,165437250604697.38,161461.40010351967,6.663382937428325e+42,2593524457113.837,705458.4770241169,1.4238717281743525e+43
0321,232022972548302.62,161461.40010351967,1.2596122780476048e+43,324727350960.42786,821712.7316698213,1.2066801973325276e+44
0322,157633283042274.84,169883.6437197453,6.055198163350875e+42,2998102643988.239,547088.0020280032,4.2925748557716536e+43
0323,243509758311803.9,161461.40010351967,1.4290808942303992e+43,1256346978453.5527,519965.2706590242,6.72606641304599e+42
0324,255565221589118.44,169883.6437197453,1.6465735301228732e+43,1678888672304.4734,494187.1905238273,1.1126542144331228e+43
0325,268217515957878.8,161461.40010351967,1.6375788269861276e+43,1140614355428.725,494187.1905238273,1.4285751825019294e+43
0326,243509758311803.9,169883.6437197453,1.537149160746955e+43,1524232201484.8955,469687.09846389916,5.752593507345716e+42
0327,157633283042274.84,161461.40010351967,5.775530296275894e+42,2593524457113.837,670484.28513293,3.121085357128425e+43
0328,232022972548302.62,169883.6437197453,1.3710651673874141e+43,853545218728.9185,742257.0130879642,2.1791672492398506e+42
0329,182223368425650.75,161461.40010351967,7.485299387705993e+42,2721922345840.4185,705458.4770241169,1.543141103936049e+43
0330,221078038775011.3,161461.40010351967,1.1292376920006607e+43,2354613237961.394,670484.28513293,6.504330187374893e+42
0331,268217515957878.8,161461.40010351967,1.7303539170705475e+43,986694445859.3854,605651.6391000265,1.1002643799723808e+42
0332,191244719937613.97,161461.40010351967,8.524906967669786e+42,4006441416043.9155,575625.5251117854,6.272368448648737e+42
0333,221078038775011.3,161461.40010351967,1.2229067079713214e+43,2856676842380.816,670484.28513293,3.4193486862459156e+42
0334,255565221589118.44,161461.40010351967,1.571024185505031e+43,1256346978453.5527,780975.0558280292,6.11659779427807e+42
0335,232022972548302.62,169883.6437197453,1.3879080918857958e+43,1524232201484.8955,821712.7316698213,3.728939761645306e+42
