Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0294,754157475712119.9,40819.79179996614,1.6055773422531956e+41,294814000000.0001,161461.40010351967,0.0
0295,684796385263151.5,44308.126953854226,2.0293462344493846e+41,16421228830142.14,307126.36643578357,7.309088230836326e+41
0296,663123774789698.0,44308.126953854226,7.415378971136581e+40,1067142752446.2457,792211.3154718872,2.3665467239684545e+42
0297,663123774789698.0,44308.126953854226,8.321296169209665e+40,1520050384515.9585,847687.1668764589,3.4120974357856235e+42
0298,496469822312222.06,45535.93517173839,6.980232190649348e+40,2309017203911.472,765850.0724140495,9.987232653533585e+42
0299,564625251267719.1,43113.424743658674,4.295428522980974e+40,1903820532637.6072,740366.0134130177,4.769419183263853e+42
0300,496469822312222.06,45535.93517173839,1.0893513045501911e+41,3622123169553.179,625115.1960956908,6.997475008210022e+42
0301,663123774789698.0,44308.126953854226,8.074126484480442e+39,1033369546729.8458,819479.9360447068,1.0028586145724448e+43
0302,602135201973896.6,43113.424743658674,1.6111286764467224e+40,2625999326339.922,715729.9497136263,9.494139947922899e+42
0303,754157475712119.9,43113.424743658674,1.5601735457663196e+41,1033369546729.8458,715729.9497136263,3.444062601289054e+42
0304,663123774789698.0,45535.93517173839,1.4356495316336386e+41,2165177213798.77,691913.6638317006,4.589065647332262e+42
0305,642137064614263.0,41950.93588729162,9.237047208011352e+40,2309017203911.472,740366.0134130177,4.971738818404526e+42
0306,564625251267719.1,45535.93517173839,7.734287925905585e+40,2891979376341.5117,715729.9497136263,8.404290600676563e+42
0307,546755847460193.56,45535.93517173839,6.468854497047943e+40,3084103273751.8486,668889.877234506,9.701058784821293e+42
0308,642137064614263.0,44308.126953854226,6.717736623226811e+40,2165177213798.77,740366.0134130177,4.401080076955793e+42
0309,684796385263151.5,43113.424743658674,9.417461952726663e+40,1674011991902.1965,765850.0724140495,2.864649266474559e+42
0310,684796385263151.5,43113.424743658674,9.45284601289415e+40,1033369546729.8458,765850.0724140495,2.5798227800201193e+42
0311,684796385263151.5,45535.93517173839,3.734677090808372e+40,617711792580.77,668889.877234506,3.4444241644574023e+42
0312,621814547189458.4,48094.56461168163,1.8515745538897197e+41,1425359001572.086,493263.6037355609,4.4636435897019837e+42
0313,564625251267719.1,48094.56461168163,1.5259387308424904e+41,2235940839149.9287,740366.0134130177,1.2018694156243507e+42
0314,621814547189458.4,44308.126953854226,5.635996829507748e+40,1471943442667.867,625115.1960956908,8.755346064481743e+42
0315,359935142432174.0,45535.93517173839,2.0631288609689556e+40,3396483377864.7783,625115.1960956908,1.6026647155409834e+43
0316,529451979097141.0,48094.56461168163,5.04752715561005e+40,2462412967391.7036,476850.00108219223,5.860017787282412e+42
0317,337513019616912.56,45535.93517173839,4.114776103167428e+40,2462412967391.7036,715729.9497136263,2.5586059405042466e+43
0318,337513019616912.56,48094.56461168163,2.9963841615539846e+40,2542891030606.955,668889.877234506,1.3656562836801534e+43
0319,359935142432174.0,48094.56461168163,1.7113296736742448e+40,2165177213798.77,715729.9497136263,2.2162198465065845e+43
