Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0300,383846842129873.5,43113.424743658674,1.0481892911827003e+41,509312963097.6717,493263.6037355609,7.808085268094885e+39
0301,409347076302336.4,41950.93588729162,9.879089998440013e+40,294814000000.0001,445643.1351108912,4.495129123812528e+40
0302,222188381437239.4,45535.93517173839,5.220801175111902e+40,1674011991902.1965,527805.1684035911,4.1089729540839324e+41
0303,215156506932285.7,45535.93517173839,4.887605565962058e+40,2384481894425.3154,460982.5695836015,2.9638716558569997e+41
0304,229450075898644.53,43113.424743658674,3.9138929797738074e+40,4684875968766.25,363750.433443757,7.931585154793589e+40
0305,222188381437239.4,43113.424743658674,4.516753961445765e+40,4119368615813.722,402620.02379144216,7.327494440218565e+40
0306,195368212817820.12,49427.297582481406,4.744681890213553e+40,3184899793878.313,445643.1351108912,1.9451144385011163e+41
0307,236949101430692.06,43113.424743658674,5.011679013126515e+40,3740503579855.1514,416478.5643719295,2.1890108219528222e+41
0308,222188381437239.4,45535.93517173839,4.944817170887513e+40,2986496787575.317,460982.5695836015,2.35984572015216e+41
0309,244693214630330.4,45535.93517173839,6.444594793403853e+40,3184899793878.313,476850.00108219223,4.819910097013433e+41
0310,215156506932285.7,44308.126953854226,4.1234535570548165e+40,2986496787575.317,493263.6037355609,3.922489719865314e+41
0311,422725603917276.94,41950.93588729162,1.5035651126488372e+41,1253305141158.283,493263.6037355609,9.142519387719647e+40
0312,436541376626919.4,40819.79179996614,1.7454501168160026e+41,1966042341572.603,476850.00108219223,9.539517027981623e+40
0313,316487680644833.06,43113.424743658674,7.275740490056625e+40,2462412967391.7036,510242.17724234634,7.326226200071479e+41
0314,244693214630330.4,44308.126953854226,6.727551252541525e+40,3507489292637.443,430814.1282887437,4.55360589529566e+41
0315,260949006234250.75,43113.424743658674,5.678761218350185e+40,5159393814953.366,389222.6333479636,1.3681897634095814e+41
0316,260949006234250.75,40819.79179996614,4.594503625332987e+40,3862752970003.271,445643.1351108912,3.744695324481071e+41
0317,409347076302336.4,41950.93588729162,2.0326055846547238e+41,1966042341572.603,460982.5695836015,7.309542286521976e+40
0318,450808684738713.25,39719.147316981514,1.7187779799321808e+41,825063996277.8367,460982.5695836015,1.2875181570488642e+40
0319,278284724639857.44,41950.93588729162,1.1752571310351877e+41,4536607820492.515,389222.6333479636,1.8583660194941422e+41
0320,244693214630330.4,40819.79179996614,8.555205020896749e+40,2165177213798.77,510242.17724234634,2.51109245388338e+41
0321,383846842129873.5,39719.147316981514,1.4285249468476328e+41,14910941688726.232,307126.36643578357,6.49211675102844e+41
0322,337513019616912.56,40819.79179996614,1.3026719634041026e+41,4684875968766.25,416478.5643719295,1.8872518484122597e+41
0323,260949006234250.75,40819.79179996614,9.955049344185163e+40,3740503579855.1514,416478.5643719295,1.7967448108548892e+41
0324,236949101430692.06,40819.79179996614,4.368741415806066e+40,2711823817433.4067,476850.00108219223,3.1882546185458696e+41
0325,222188381437239.4,41950.93588729162,6.724642582389388e+40,1569729586402.6428,584205.2955044999,1.2347370361401157e+42
0326,409347076302336.4,40819.79179996614,4.627926860627038e+41,680278074235.6105,584205.2955044999,2.1576430308089136e+41
0327,287379793565330.1,40819.79179996614,1.9258509577612412e+41,4393032100351.1543,476850.00108219223,3.2885670925700324e+41
0328,371698759473522.7,39719.147316981514,2.6136020252833086e+41,3288990606564.976,476850.00108219223,2.735366797894245e+41
0329,260949006234250.75,40819.79179996614,1.1207110868149442e+41,3740503579855.1514,430814.1282887437,2.6264734452905776e+41
0330,422725603917276.94,41950.93588729162,4.787071120196562e+41,1785222227641.4202,430814.1282887437,6.323032486211598e+40
0331,252690425600276.66,40819.79179996614,6.728567274596034e+40,5681974232668.811,339945.2305545469,9.660889324553834e+40
0332,244693214630330.4,41950.93588729162,8.607848844969445e+40,7349099765997.988,328633.3764141353,3.9626079906148953e+40
