Spec_File,OptUV_Radius,OptUV_Temperature,OptUV_ChiSquare,SoftX_Radius,SoftX_Temperature,SoftX_ChiSquare
0179,232022972548302.62,161461.40010351967,2.750661709425609e+43,1940787777648.095,446401.63624961453,1.1207196131228347e+41
0180,136361500379267.78,161461.40010351967,9.287460895738964e+42,3465793214031.2837,469687.09846389916,1.0510371082001881e+42
0181,150197442425220.62,161461.40010351967,1.0633734205142691e+43,4412955652750.838,469687.09846389916,1.0412512477335465e+42
0182,232022972548302.62,161461.40010351967,2.637182224731804e+43,1678888672304.4734,469687.09846389916,1.0526709089751331e+41
0183,143112363554767.2,169883.6437197453,1.0247867185675828e+43,2998102643988.239,494187.1905238273,1.402429287768934e+42
0184,243509758311803.9,161461.40010351967,3.01030596489891e+43,433941483097.26434,519965.2706590242,1.3413927424162302e+43
0185,243509758311803.9,169883.6437197453,3.0591191874736684e+43,294814000000.0001,469687.09846389916,3.0419972852127304e+42
0186,210649396875692.94,169883.6437197453,2.321106807130542e+43,2593524457113.837,547088.0020280032,8.253980014886424e+41
0187,232022972548302.62,169883.6437197453,2.8560060710126264e+43,2998102643988.239,469687.09846389916,6.933629627380403e+41
0188,243509758311803.9,161461.40010351967,3.0061155620759674e+43,2243541969163.485,494187.1905238273,3.874509155036294e+41
0189,255565221589118.44,161461.40010351967,3.3153149848117747e+43,895801771859.4875,494187.1905238273,3.97891947712828e+40
0190,243509758311803.9,161461.40010351967,3.3100359250826434e+43,357675864992.086,494187.1905238273,8.2984608571467e+39
0191,243509758311803.9,161461.40010351967,3.030451779824111e+43,2721922345840.4185,494187.1905238273,2.5572886843367677e+41
0192,243509758311803.9,161461.40010351967,3.1175148536108567e+43,1678888672304.4734,575625.5251117854,7.757690669216695e+40
0193,157633283042274.84,161461.40010351967,1.2342738559004388e+43,3637374604067.49,469687.09846389916,1.2030597562471553e+42
0194,182223368425650.75,161461.40010351967,1.6541589030278818e+43,4204788733616.2495,519965.2706590242,1.0642292540268168e+42
0195,173627570011984.6,161461.40010351967,1.467547564877365e+43,1678888672304.4734,705458.4770241169,1.5476710061591773e+42
0196,243509758311803.9,169883.6437197453,3.202174280456804e+43,670346919325.0374,705458.4770241169,1.7989040644988616e+41
0197,221078038775011.3,161461.40010351967,2.401477095492457e+43,3302305621475.7617,519965.2706590242,1.0941421897342907e+42
0198,191244719937613.97,161461.40010351967,1.887412234806085e+43,4412955652750.838,469687.09846389916,9.714504198752323e+41
0199,182223368425650.75,161461.40010351967,1.6301447583389762e+43,6495500623434.282,403236.7181251849,2.536310381824299e+41
0200,173627570011984.6,161461.40010351967,1.3966235639048047e+43,3146530027665.9917,469687.09846389916,5.0072490661614146e+41
0201,182223368425650.75,169883.6437197453,1.6794596898702447e+43,477971426994.6946,742257.0130879642,5.63928604705838e+44
0202,136361500379267.78,169883.6437197453,8.131132960125897e+42,3637374604067.49,446401.63624961453,6.200836566168956e+41
0203,243509758311803.9,169883.6437197453,3.166356336980728e+43,1678888672304.4734,547088.0020280032,1.9546167866140336e+41
0204,255565221589118.44,161461.40010351967,3.533414481816126e+43,738363779660.7452,547088.0020280032,3.9057219140772546e+40
0205,255565221589118.44,161461.40010351967,3.26485217494649e+43,309409387779.43896,547088.0020280032,2.2800305664096895e+40
0206,165437250604697.38,161461.40010351967,1.3828562097437811e+43,4412955652750.838,403236.7181251849,2.958275339939075e+41
0207,210649396875692.94,161461.40010351967,2.2277642228168813e+43,3637374604067.49,494187.1905238273,6.2382001724556996e+41
0208,173627570011984.6,161461.40010351967,1.5249611331464533e+43,3302305621475.7617,446401.63624961453,3.7474670984370905e+41
0209,143112363554767.2,169883.6437197453,1.0336751522145464e+43,5618966969611.556,364245.642579698,1.9738276169965235e+41
0210,143112363554767.2,161461.40010351967,9.368127110501988e+42,7508769597190.191,346187.603142919,1.1337503410386651e+41
0211,150197442425220.62,161461.40010351967,1.148879301693715e+43,7880507045267.491,329024.8188586541,5.607449711620988e+40
0212,136361500379267.78,169883.6437197453,9.583180973924635e+42,8680103987716.662,329024.8188586541,1.0138508988436162e+41
0213,150197442425220.62,161461.40010351967,1.1231843750627808e+43,7880507045267.491,346187.603142919,4.899694133012849e+40
0214,150197442425220.62,161461.40010351967,9.867352931758964e+42,6495500623434.282,346187.603142919,1.007095720813551e+41
0215,143112363554767.2,161461.40010351967,9.469671862123776e+42,2593524457113.837,494187.1905238273,5.5862538357718185e+41
0216,232022972548302.62,161461.40010351967,2.4984578003551665e+43,1035542831815.0599,494187.1905238273,5.422157997654509e+40
0217,173627570011984.6,161461.40010351967,1.3129429612123424e+43,4860716923292.736,403236.7181251849,2.4691013753039682e+41
0218,182223368425650.75,161461.40010351967,1.4019548765852262e+43,6495500623434.282,346187.603142919,7.692061065088665e+40
0219,191244719937613.97,169883.6437197453,1.701351773344085e+43,8680103987716.662,346187.603142919,1.1412252768685988e+40
0220,150197442425220.62,169883.6437197453,1.0310701487086751e+43,7154567661676.926,346187.603142919,1.6570678924629184e+40
0221,173627570011984.6,161461.40010351967,1.3248488635803695e+43,2243541969163.485,547088.0020280032,1.4147566158149093e+42
0222,150197442425220.62,161461.40010351967,9.538639495212232e+42,3146530027665.9917,446401.63624961453,5.501026426516203e+41
0223,129929087353583.34,169883.6437197453,7.199121906152814e+42,5353910364736.312,364245.642579698,2.3270790092068084e+41
0224,123800102621206.38,169883.6437197453,6.353928975343889e+42,6495500623434.282,364245.642579698,8.106587919193411e+40
0225,129929087353583.34,169883.6437197453,7.253260698581049e+42,3637374604067.49,403236.7181251849,4.939266170497735e+41
0226,129929087353583.34,161461.40010351967,6.63840530045116e+42,2354613237961.394,469687.09846389916,7.078814212428647e+41
0227,123800102621206.38,161461.40010351967,6.24996041302178e+42,2998102643988.239,494187.1905238273,8.233242722167802e+41
0228,143112363554767.2,161461.40010351967,9.703169217508691e+42,4412955652750.838,446401.63624961453,3.219630337328534e+41
0229,129929087353583.34,169883.6437197453,7.957816804079663e+42,5101356948466.366,446401.63624961453,5.849275668382266e+41
0230,129929087353583.34,161461.40010351967,7.080949796991868e+42,4412955652750.838,424270.586733286,3.911154198787658e+41
0231,157633283042274.84,161461.40010351967,1.1808726069809626e+43,8270648138377.99,346187.603142919,5.819913821568537e+40
0232,157633283042274.84,161461.40010351967,1.220942935941698e+43,5101356948466.366,424270.586733286,3.3121277391935293e+41
0233,129929087353583.34,161461.40010351967,7.85064863180621e+42,4204788733616.2495,446401.63624961453,7.024259309577766e+41
0234,165437250604697.38,161461.40010351967,1.2893622714809562e+43,4631428313497.515,494187.1905238273,1.1638403440496935e+42
0235,143112363554767.2,169883.6437197453,1.0227846734028934e+43,3465793214031.2837,519965.2706590242,1.4085722956890472e+42
0236,143112363554767.2,161461.40010351967,8.98668789863877e+42,1318545080769.1057,494187.1905238273,5.4732748624609435e+41
0237,136361500379267.78,161461.40010351967,7.795624512974695e+42,2721922345840.4185,364245.642579698,6.402711170035747e+41
0238,129929087353583.34,161461.40010351967,7.693450856066334e+42,4204788733616.2495,383245.63598981337,8.687767419148853e+40
0239,143112363554767.2,161461.40010351967,1.0367044536165071e+43,5101356948466.366,383245.63598981337,7.504954972839598e+40
0240,129929087353583.34,161461.40010351967,7.384992531391525e+42,4412955652750.838,383245.63598981337,3.487817128125135e+42
0241,165437250604697.38,161461.40010351967,1.302161659219875e+43,7508769597190.191,346187.603142919,2.410877894240226e+41
0242,123800102621206.38,161461.40010351967,7.649965483622352e+42,4204788733616.2495,424270.586733286,2.2781424427525696e+41
0243,123800102621206.38,169883.6437197453,7.37681526509963e+42,6495500623434.282,346187.603142919,9.35220063386388e+40
0244,117960232933157.75,161461.40010351967,5.964011699524197e+42,3465793214031.2837,424270.586733286,3.517159543974647e+41
0245,182223368425650.75,169883.6437197453,1.6499231922222316e+43,1678888672304.4734,403236.7181251849,1.9077290513926504e+40
0246,123800102621206.38,161461.40010351967,6.404924955764365e+42,5101356948466.366,383245.63598981337,3.7784392473748804e+40
0247,136361500379267.78,169883.6437197453,8.747177831694411e+42,552532826553.0702,780975.0558280292,1.0152373900671479e+45
0248,182223368425650.75,161461.40010351967,1.537305579591531e+43,294814000000.0001,705458.4770241169,1.315394252192633e+44
0249,191244719937613.97,161461.40010351967,1.6554040286457695e+43,324727350960.42786,637243.9927387064,9.694737976689332e+43
0250,157633283042274.84,161461.40010351967,1.0710667894371625e+43,294814000000.0001,637243.9927387064,5.848342715810809e+43
0251,173627570011984.6,161461.40010351967,1.4144460220293646e+43,324727350960.42786,575625.5251117854,4.445481522337836e+43
0252,191244719937613.97,169883.6437197453,1.778017933908272e+43,294814000000.0001,469687.09846389916,6.303263819559087e+42
0253,210649396875692.94,161461.40010351967,1.992130572081854e+43,309409387779.43896,403236.7181251849,1.7818455257091088e+42
0254,182223368425650.75,161461.40010351967,1.5778504680466545e+43,1197082870574.8118,494187.1905238273,2.0721493206488257e+41
0255,173627570011984.6,169883.6437197453,1.4465835726669488e+43,4412955652750.838,383245.63598981337,1.630890122242297e+41
0256,143112363554767.2,161461.40010351967,9.161148257994163e+42,5618966969611.556,383245.63598981337,7.29071298971799e+41
0257,123800102621206.38,161461.40010351967,6.886670984798493e+42,2856676842380.816,469687.09846389916,4.023228789852935e+41
